Acadia,62045
Allen,25627
Ascension,126604
Assumption,21891
Avoyelles,40144
Beauregard,37497
Bienville,13241
Bossier,127039
Caddo,240204
Calcasieu,203436
Caldwell,9918
Cameron,6973
Catahoula,9494
Claiborne,15670
Concordia,19259
De Soto,27463
East Baton Rouge,440059
East Carroll,6861
East Feliciana,19135
Evangeline,33395
Franklin,20015
Grant,22389
Iberia,69830
Iberville,32511
Jackson,15744
Jefferson,432493
Jefferson Davis,31368
Lafayette,244390
Lafourche,97614
LaSalle,14892
Lincoln,46742
Livingston,140789
Madison,10951
Morehouse,24874
Natchitoches,38158
Orleans,390144
Ouachita,153279
Plaquemines,23197
Pointe Coupee,21730
Rapides,129648
Red River,8442
Richland,20122
Sabine,23884
St. Bernard,47244
St. Charles,53100
St. Helena,10132
St. James,21096
St. John the Baptist,42837
St. Landry,82124
St. Martin,53431
St. Mary,49348
St. Tammany,260419
Tangipahoa,134758
Tensas,4334
Terrebonne,110461
Union,22108
Vermilion,59511
Vernon,47429
Washington,46194
Webster,38340
West Baton Rouge,26465
West Carroll,10830
West Feliciana,15568
Winn,13904
