Aitkin,15886
Anoka,356921
Becker,34423
Beltrami,47188
Benton,40889
Big Stone,4991
Blue Earth,67653
Brown,25008
Carlton,35871
Carver,105089
Cass,29779
Chippewa,11800
Chisago,56579
Clay,64222
Clearwater,8818
Cook,5463
Cottonwood,11196
Crow Wing,65055
Dakota,429021
Dodge,20934
Douglas,38141
Faribault,13653
Fillmore,21067
Freeborn,30281
Goodhue,46340
Grant,5972
Hennepin,1265843
Houston,18600
Hubbard,21491
Isanti,40596
Itasca,45130
Jackson,9846
Kanabec,16337
Kandiyohi,43199
Kittson,4298
Koochiching,12229
Lac qui Parle,6623
Lake,10641
Lake of the Woods,3740
Le Sueur,28887
Lincoln,5639
Lyon,25474
McLeod,35893
Mahnomen,5527
Marshall,9336
Martin,19683
Meeker,23222
Mille Lacs,26277
Morrison,33386
Mower,40062
Murray,8194
Nicollet,34274
Nobles,21629
Norman,6375
Olmsted,158293
Otter Tail,58746
Pennington,14119
Pine,29579
Pipestone,9126
Polk,31364
Pope,11249
Ramsey,550321
Red Lake,4055
Redwood,15170
Renville,14548
Rice,66972
Rock,9315
Roseau,15165
St. Louis,199070
Scott,149013
Sherburne,97238
Sibley,14865
Stearns,161075
Steele,36649
Stevens,9805
Swift,9266
Todd,24664
Traverse,3259
Wabasha,21627
Wadena,13682
Waseca,18612
Washington,262440
Watonwan,10897
Wilkin,6207
Winona,50484
Wright,138377
Yellow Medicine,9709
