Adair,25343
Andrew,17712
Atchison,5143
Audrain,25388
Barry,35789
Barton,11754
Bates,16172
Benton,19443
Bollinger,12133
Boone,180463
Buchanan,87364
Butler,42478
Caldwell,9020
Callaway,44743
Camden,46305
Cape Girardeau,78871
Carroll,8679
Carter,5982
Cass,105780
Cedar,14349
Chariton,7426
Christian,88595
Clark,6797
Clay,249948
Clinton,20387
Cole,76745
Cooper,17709
Crawford,23920
Dade,7561
Dallas,16878
Daviess,8278
DeKalb,12547
Dent,15573
Douglas,13185
Dunklin,29131
Franklin,103967
Gasconade,14706
Gentry,6571
Greene,293086
Grundy,9850
Harrison,8352
Henry,21824
Hickory,9544
Holt,4403
Howard,10001
Howell,40117
Iron,10125
Jackson,703011
Jasper,121328
Jefferson,225081
Johnson,54062
Knox,3959
Laclede,35723
Lafayette,32708
Lawrence,38355
Lewis,9776
Lincoln,59013
Linn,11920
Livingston,15227
McDonald,22837
Macon,15117
Madison,12088
Maries,8697
Marion,28530
Mercer,3617
Miller,25619
Mississippi,13180
Moniteau,16132
Monroe,8644
Montgomery,11551
Morgan,20627
New Madrid,17076
Newton,58236
Nodaway,22092
Oregon,10529
Osage,13615
Ozark,9174
Pemiscot,15805
Perry,19136
Pettis,42339
Phelps,44573
Pike,18302
Platte,104418
Polk,32149
Pulaski,52607
Putnam,4696
Ralls,10309
Randolph,24748
Ray,23018
Reynolds,6270
Ripley,13288
St. Charles,402022
St. Clair,9397
Ste. Genevieve,17894
St. Francois,67215
St. Louis,994205
Saline,22761
Schuyler,4660
Scotland,4902
Scott,38280
Shannon,8166
Shelby,5930
Stoddard,29025
Stone,31952
Sullivan,6089
Taney,55928
Texas,25398
Vernon,20563
Warren,35649
Washington,24730
Wayne,12873
Webster,39592
Worth,2013
Wright,18289
St. Louis city,300576
