Adams,103009
Allegheny,1216045
Armstrong,64735
Beaver,163929
Bedford,47888
Berks,421164
Blair,121829
Bradford,60323
Bucks,628270
Butler,187853
Cambria,130192
Cameron,4447
Carbon,64182
Centre,162385
Chester,524989
Clarion,38438
Clearfield,79255
Clinton,38632
Columbia,64964
Crawford,84629
Cumberland,253370
Dauphin,278299
Delaware,566747
Elk,29910
Erie,269728
Fayette,129274
Forest,7247
Franklin,155027
Fulton,14530
Greene,36233
Huntingdon,45144
Indiana,84073
Jefferson,43425
Juniata,24763
Lackawanna,209674
Lancaster,545724
Lawrence,85512
Lebanon,141793
Lehigh,369318
Luzerne,317417
Lycoming,113299
McKean,40625
Mercer,109424
Mifflin,46138
Monroe,170271
Montgomery,830915
Montour,18230
Northampton,305285
Northumberland,90843
Perry,46272
Philadelphia,1584064
Pike,55809
Potter,16526
Schuylkill,141359
Snyder,40372
Somerset,73447
Sullivan,6066
Susquehanna,40328
Tioga,40591
Union,44923
Venango,50668
Warren,39191
Washington,206865
Wayne,51361
Westmoreland,348899
Wyoming,26794
York,449058
