Anderson,76978
Bedford,49713
Benton,16160
Bledsoe,15064
Blount,133088
Bradley,108110
Campbell,39842
Cannon,14678
Carroll,27767
Carter,56391
Cheatham,40667
Chester,17297
Claiborne,31959
Clay,7615
Cocke,36004
Coffee,56520
Crockett,14230
Cumberland,60520
Davidson,694144
Decatur,11663
DeKalb,20490
Dickson,53948
Dyer,37159
Fayette,41133
Fentress,18523
Franklin,42208
Gibson,49133
Giles,29464
Grainger,23320
Greene,69069
Grundy,13427
Hamblen,64934
Hamilton,367804
Hancock,6620
Hardeman,25050
Hardin,25652
Hawkins,56786
Haywood,17304
Henderson,28117
Henry,32345
Hickman,25178
Houston,8201
Humphreys,18582
Jackson,11786
Jefferson,54495
Johnson,17788
Knox,470313
Lake,7016
Lauderdale,25633
Lawrence,44142
Lewis,12268
Lincoln,34366
Loudon,54068
McMinn,53794
McNairy,25694
Macon,24602
Madison,97984
Marion,28907
Marshall,34375
Maury,96387
Meigs,12422
Monroe,46545
Montgomery,208993
Moore,6488
Morgan,21403
Obion,30069
Overton,22241
Perry,8076
Pickett,5048
Polk,16832
Putnam,80245
Rhea,33167
Roane,53382
Robertson,71813
Rutherford,332285
Scott,22068
Sequatchie,15026
Sevier,98250
Shelby,937166
Smith,20157
Stewart,13715
Sullivan,158348
Sumner,191283
Tipton,61599
Trousdale,11284
Unicoi,17883
Union,19972
Van Buren,5872
Warren,41277
Washington,129375
Wayne,16673
Weakley,33328
White,27345
Williamson,238412
Wilson,144657
