Adams,19983
Asotin,22582
Benton,204390
Chelan,77200
Clallam,77331
Clark,488241
Columbia,3985
Cowlitz,110593
Douglas,43429
Ferry,7627
Franklin,95222
Garfield,2225
Grant,97733
Grays Harbor,75061
Island,85141
Jefferson,32221
King,2252782
Kitsap,271473
Kittitas,47935
Klickitat,22425
Lewis,80707
Lincoln,10939
Mason,66768
Okanogan,42243
Pacific,22471
Pend Oreille,13724
Pierce,904980
San Juan,17582
Skagit,129205
Skamania,12083
Snohomish,822083
Spokane,522798
Stevens,45723
Thurston,290536
Wahkiakum,4488
Walla Walla,60760
Whatcom,229247
Whitman,50104
Yakima,250873
